2021,2020,2019,2018,2017,2016,2015,2014,2013
Bethesda-Chevy Chase HS 21.7 93.4 92.7 ≤5.0 7.7 15.1 14.6 17.6,Bethesda-Chevy Chase HS 22.0 93.2 ≥95.0 ≤5.0 8.4 15.7 12.8 14.1,Bethesda-Chevy Chase HS 20.6 93.2 94.9 ≤5.0 8.4 14.8 13.6 14.9,Bethesda-Chevy Chase HS 20.6 93.2 94.9 ≤5.0 8.4 14.8 13.6 14.9,Bethesda-Chevy Chase HS 20.6 93.2 94.9 ≤5.0 8.4 14.8 13.6 14.9,Bethesda-Chevy Chase HS 20.6 93.2 94.9 ≤5.0 8.4 14.8 13.6 14.9,Bethesda-Chevy Chase HS 20.6 93.2 94.9 ≤5.0 8.4 14.8 13.6 14.9,Bethesda-Chevy Chase HS 19.4 ≥95.0 94.4 ≤5.0 7.0 13.8 26.7 29.2,Bethesda-Chevy Chase HS 19.3 93.7 93.8 ≤5.0 8.6 14.2 25.9 28.0
Montgomery Blair HS 51.2 90.5 88.2 8.2 10.0 13.3 20.2 21.1,Montgomery Blair HS 53.6 90.4 86.1 8.8 11.0 13.6 20.6 21.5,Montgomery Blair HS 54.1 90.4 86.7 7.4 11.0 13.5 18.3 16.9,Montgomery Blair HS 54.1 90.4 86.7 7.4 11.0 13.5 18.3 16.9,Montgomery Blair HS 54.1 90.4 86.7 7.4 11.0 13.5 18.3 16.9,Montgomery Blair HS 54.1 90.4 86.7 7.4 11.0 13.5 18.3 16.9,Montgomery Blair HS 54.1 90.4 86.7 7.4 11.0 13.5 18.3 16.9,Montgomery Blair HS 54.1 94.7 85.4 9.4 9.9 12.7 23.7 25.5,Montgomery Blair HS 55.1 93.5 85.8 9.7 9.7 13.5 24.0 25.1
James Hubert Blake HS 56.3 92.3 92.1 ≤5.0 9.7 13.4 16.1 19.0,James Hubert Blake HS 60.6 92.6 92.1 ≤5.0 10.5 13.4 18.1 20.4,James Hubert Blake HS 59.2 92.6 91.6 ≤5.0 10.5 13.2 15.7 17.4,James Hubert Blake HS 59.2 92.6 91.6 ≤5.0 10.5 13.2 15.7 17.4,James Hubert Blake HS 59.2 92.6 91.6 ≤5.0 10.5 13.2 15.7 17.4,James Hubert Blake HS 59.2 92.6 91.6 ≤5.0 10.5 13.2 15.7 17.4,James Hubert Blake HS 59.2 92.6 91.6 ≤5.0 10.5 13.2 15.7 17.4,James Hubert Blake HS 53.1 ≥95.0 88.6 6.6 11.9 12.0 26.0 26.4,James Hubert Blake HS 49.6 94.3 89.8 5.4 13.0 13.1 26.6 26.8
Winston Churchill HS 8.4 93.8 ≥95.0 ≤5.0 ≤5.0 12.3 19.4 22.9,Winston Churchill HS 9.5 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 21.4 22.4,Winston Churchill HS 9.3 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 22.7 19.8,Winston Churchill HS 9.3 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 22.7 19.8,Winston Churchill HS 9.3 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 22.7 19.8,Winston Churchill HS 9.3 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 22.7 19.8,Winston Churchill HS 9.3 93.3 ≥95.0 ≤5.0 ≤5.0 12.9 22.7 19.8,Winston Churchill HS 10.2 ≥95.0 ≥95.0 ≤5.0 ≤5.0 12.5 25.8 28.2,Winston Churchill HS 9.3 94.7 ≥95.0 ≤5.0 ≤5.0 12.9 25.3 28.1
Clarksburg HS 44.8 93.0 93.2 ≤5.0 10.7 13.2 17.9 16.7,Clarksburg HS 51.4 92.9 91.5 ≤5.0 11.1 11.4 19.3 18.0,Clarksburg HS 50.8 92.9 93.2 ≤5.0 11.1 13.5 17.4 16.1,Clarksburg HS 50.8 92.9 93.2 ≤5.0 11.1 13.5 17.4 16.1,Clarksburg HS 50.8 92.9 93.2 ≤5.0 11.1 13.5 17.4 16.1,Clarksburg HS 50.8 92.9 93.2 ≤5.0 11.1 13.5 17.4 16.1,Clarksburg HS 50.8 92.9 93.2 ≤5.0 11.1 13.5 17.4 16.1,Clarksburg HS 48.9 ≥95.0 88.6 6.5 10.4 13.1 26.7 27.4,Clarksburg HS 48.6 93.5 89.1 5.8 11.5 12.9 27.9 27.6
Damascus HS 30.6 92.3 90.3 ≤5.0 8.0 12.4 17.9 18.2,Damascus HS 36.1 92.4 93.1 ≤5.0 8.7 11.9 13.6 14.3,Damascus HS 31.2 92.4 90.2 ≤5.0 8.7 12.1 11.4 14.2,Damascus HS 31.2 92.4 90.2 ≤5.0 8.7 12.1 11.4 14.2,Damascus HS 31.2 92.4 90.2 ≤5.0 8.7 12.1 11.4 14.2,Damascus HS 31.2 92.4 90.2 ≤5.0 8.7 12.1 11.4 14.2,Damascus HS 31.2 92.4 90.2 ≤5.0 8.7 12.1 11.4 14.2,Damascus HS 26.6 ≥95.0 92.3 ≤5.0 6.1 10.4 25.7 25.6,Damascus HS 24.2 94.0 93.3 ≤5.0 6.0 11.8 24.4 25.4
Thomas Edison HS of Technology 71.5 N/A N/A N/A N/A 19.5 N/A N/A,Thomas Edison HS of Technology 80.3 -- -- -- -- 18.7,Thomas Edison HS of Technology 79.5 -- -- -- -- 18.8,Thomas Edison HS of Technology 79.5 -- -- -- -- 18.8,Thomas Edison HS of Technology 79.5 -- -- -- -- 18.8,Thomas Edison HS of Technology 79.5 -- -- -- -- 18.8,Thomas Edison HS of Technology 79.5 -- -- -- -- 18.8,Thomas Edison HS of Technology 72.1 -- -- -- -- 6.0,Thomas Edison HS of Technology 70.7 76.1 -- -- 65.1 18.1
Albert Einstein HS 61.3 89.2 77.8 8.9 10.3 11.6 17.7 15.8,Albert Einstein HS 65.7 89.6 80.6 12.5 12.8 11.4 19.0 17.8,Albert Einstein HS 66.2 89.6 83.7 10.3 12.8 10.6 16.5 15.3,Albert Einstein HS 66.2 89.6 83.7 10.3 12.8 10.6 16.5 15.3,Albert Einstein HS 66.2 89.6 83.7 10.3 12.8 10.6 16.5 15.3,Albert Einstein HS 66.2 89.6 83.7 10.3 12.8 10.6 16.5 15.3,Albert Einstein HS 66.2 89.6 83.7 10.3 12.8 10.6 16.5 15.3,Albert Einstein HS 65.7 93.7 79.5 12.1 12.8 10.9 25.5 25.3,Albert Einstein HS 64.6 91.8 79.8 11.5 12.3 10.9 25.1 25.1
Gaithersburg HS 72.7 87.0 78.8 11.3 19.9 9.9 12.5 14.1,Gaithersburg HS 75.0 86.8 76.5 14.3 19.2 10.7 15.2 16.2,Gaithersburg HS 75.2 86.8 74.0 17.1 19.2 10.3 14.1 14.3,Gaithersburg HS 75.2 86.8 74.0 17.1 19.2 10.3 14.1 14.3,Gaithersburg HS 75.2 86.8 74.0 17.1 19.2 10.3 14.1 14.3,Gaithersburg HS 75.2 86.8 74.0 17.1 19.2 10.3 14.1 14.3,Gaithersburg HS 75.2 86.8 74.0 17.1 19.2 10.3 14.1 14.3,Gaithersburg HS 64.9 92.4 76.9 10.1 16.9 10.7 23.9 24.8,Gaithersburg HS 62.6 90.3 76.2 12.2 14.4 10.9 24.2 24.4
Walter Johnson HS 17.7 94.0 94.3 ≤5.0 7.5 14.5 25.1 25.1,Walter Johnson HS 19.9 93.8 ≥95.0 ≤5.0 9.3 14.3 25.6 25.5,Walter Johnson HS 18.5 93.8 93.9 ≤5.0 9.3 14.1 23.2 19.7,Walter Johnson HS 18.5 93.8 93.9 ≤5.0 9.3 14.1 23.2 19.7,Walter Johnson HS 18.5 93.8 93.9 ≤5.0 9.3 14.1 23.2 19.7,Walter Johnson HS 18.5 93.8 93.9 ≤5.0 9.3 14.1 23.2 19.7,Walter Johnson HS 18.5 93.8 93.9 ≤5.0 9.3 14.1 23.2 19.7,Walter Johnson HS 17.5 ≥95.0 ≥95.0 ≤5.0 7.0 11.8 25.5 28.4,Walter Johnson HS 17.9 94.3 91.7 ≤5.0 8.3 12.8 25.3 28.0
John F. Kennedy HS 81.3 88.2 85.1 8.0 14.3 9.8 14.4 16.1,John F. Kennedy HS 82.8 88.7 79.9 12.2 15.7 10.2 16.5 16.9,John F. Kennedy HS 83.4 88.7 81.7 10.1 15.7 10.3 14.3 15.2,John F. Kennedy HS 83.4 88.7 81.7 10.1 15.7 10.3 14.3 15.2,John F. Kennedy HS 83.4 88.7 81.7 10.1 15.7 10.3 14.3 15.2,John F. Kennedy HS 83.4 88.7 81.7 10.1 15.7 10.3 14.3 15.2,John F. Kennedy HS 83.4 88.7 81.7 10.1 15.7 10.3 14.3 15.2,John F. Kennedy HS 78.4 93.4 81.5 8.8 13.7 10.0 23.0 24.3,John F. Kennedy HS 77.6 92.8 82.0 9.1 14.1 10.8 23.8 24.5
Col. Zadok Magruder HS 54.0 90.7 88.5 6.6 9.7 11.2 15.2 17.5,Col. Zadok Magruder HS 56.0 90.0 85.2 7.1 12.6 11.8 17.6 18.8,Col. Zadok Magruder HS 58.0 90.0 86.6 7.1 12.6 11.4 14.5 15.5,Col. Zadok Magruder HS 58.0 90.0 86.6 7.1 12.6 11.4 14.5 15.5,Col. Zadok Magruder HS 58.0 90.0 86.6 7.1 12.6 11.4 14.5 15.5,Col. Zadok Magruder HS 58.0 90.0 86.6 7.1 12.6 11.4 14.5 15.5,Col. Zadok Magruder HS 58.0 90.0 86.6 7.1 12.6 11.4 14.5 15.5,Col. Zadok Magruder HS 49.6 94.0 88.6 6.2 11.8 10.1 25.7 25.9,Col. Zadok Magruder HS 48.7 93.5 86.2 7.6 9.7 11.9 25.6 26.1
Richard Montgomery HS 34.4 92.5 93.8 ≤5.0 8.1 13.8 13.1 17.7,Richard Montgomery HS 37.1 92.6 94.1 ≤5.0 10.8 14.2 17.8 19.2,Richard Montgomery HS 38.3 92.6 91.3 ≤5.0 10.8 14.4 19.2 15.9,Richard Montgomery HS 38.3 92.6 91.3 ≤5.0 10.8 14.4 19.2 15.9,Richard Montgomery HS 38.3 92.6 91.3 ≤5.0 10.8 14.4 19.2 15.9,Richard Montgomery HS 38.3 92.6 91.3 ≤5.0 10.8 14.4 19.2 15.9,Richard Montgomery HS 38.3 92.6 91.3 ≤5.0 10.8 14.4 19.2 15.9,Richard Montgomery HS 37.7 ≥95.0 89.3 5.9 11.5 13.2 25.4 26.1,Richard Montgomery HS 37.3 94.0 90.3 ≤5.0 10.1 13.7 25.4 26.4
Northwest HS 39.6 92.4 ≥95.0 ≤5.0 6.8 13.4 15.4 18.2,Northwest HS 43.9 92.1 94.5 ≤5.0 9.9 13.4 18.6 20.8,Northwest HS 44.2 92.1 94.9 ≤5.0 9.9 13.6 17.5 17.4,Northwest HS 44.2 92.1 94.9 ≤5.0 9.9 13.6 17.5 17.4,Northwest HS 44.2 92.1 94.9 ≤5.0 9.9 13.6 17.5 17.4,Northwest HS 44.2 92.1 94.9 ≤5.0 9.9 13.6 17.5 17.4,Northwest HS 44.2 92.1 94.9 ≤5.0 9.9 13.6 17.5 17.4,Northwest HS 45.5 94.9 91.1 5.9 10.0 12.5 23.7 26.2,Northwest HS 44.4 93.3 92.5 ≤5.0 10.2 12.9 23.6 26.8
Northwood HS 69.0 87.4 81.7 13.7 20.1 10.6 15.4 16.2,Northwood HS 73.7 87.9 79.2 15.9 19.8 11.1 14.6 16.5,Northwood HS 74.6 87.9 80.6 14.8 19.8 10.8 14.0 14.0,Northwood HS 74.6 87.9 80.6 14.8 19.8 10.8 14.0 14.0,Northwood HS 74.6 87.9 80.6 14.8 19.8 10.8 14.0 14.0,Northwood HS 74.6 87.9 80.6 14.8 19.8 10.8 14.0 14.0,Northwood HS 74.6 87.9 80.6 14.8 19.8 10.8 14.0 14.0,Northwood HS 72.9 92.9 81.6 13.1 16.4 11.1 22.2 22.8,Northwood HS 70.6 91.1 81.7 13.3 18.6 11.3 25.0 24.4
Paint Branch HS 66.6 94.3 93.2 ≤5.0 10.6 12.5 18.2 21.3,Paint Branch HS 68.2 94.5 92.4 5.2 10.5 12.1 17.8 19.6,Paint Branch HS 65.9 94.5 87.9 9.1 10.5 12.3 16.7 17.1,Paint Branch HS 65.9 94.5 87.9 9.1 10.5 12.3 16.7 17.1,Paint Branch HS 65.9 94.5 87.9 9.1 10.5 12.3 16.7 17.1,Paint Branch HS 65.9 94.5 87.9 9.1 10.5 12.3 16.7 17.1,Paint Branch HS 65.9 94.5 87.9 9.1 10.5 12.3 16.7 17.1,Paint Branch HS 58.6 ≥95.0 87.5 8.1 11.5 12.5 25.9 26.8,Paint Branch HS 57.4 94.6 86.6 6.9 11.4 13.1 25.6 27.5
Poolesville HS 13.4 94.4 ≥95.0 ≤5.0 ≤5.0 14.4 21.5 22.1,Poolesville HS 15.0 94.2 ≥95.0 ≤5.0 ≤5.0 14.4 21.1 22.1,Poolesville HS 15.4 94.2 ≥95.0 ≤5.0 ≤5.0 14.1 18.6 19.3,Poolesville HS 15.4 94.2 ≥95.0 ≤5.0 ≤5.0 14.1 18.6 19.3,Poolesville HS 15.4 94.2 ≥95.0 ≤5.0 ≤5.0 14.1 18.6 19.3,Poolesville HS 15.4 94.2 ≥95.0 ≤5.0 ≤5.0 14.1 18.6 19.3,Poolesville HS 15.4 94.2 ≥95.0 ≤5.0 ≤5.0 14.1 18.6 19.3,Poolesville HS 15.2 ≥95.0 ≥95.0 ≤5.0 ≤5.0 14.1 26.3 26.6,Poolesville HS 14.2 ≥95.0 ≥95.0 ≤5.0 ≤5.0 14.3 27.0 27.2
Quince Orchard HS 42.2 90.7 92.3 ≤5.0 10.2 11.8 16.1 17.7,Quince Orchard HS 43.5 91.2 91.7 ≤5.0 10.0 12.2 18.8 19.2,Quince Orchard HS 43.4 91.2 92.4 ≤5.0 10.0 12.5 17.1 16.9,Quince Orchard HS 43.4 91.2 92.4 ≤5.0 10.0 12.5 17.1 16.9,Quince Orchard HS 43.4 91.2 92.4 ≤5.0 10.0 12.5 17.1 16.9,Quince Orchard HS 43.4 91.2 92.4 ≤5.0 10.0 12.5 17.1 16.9,Quince Orchard HS 43.4 91.2 92.4 ≤5.0 10.0 12.5 17.1 16.9,Quince Orchard HS 36.2 94.7 88.3 ≤5.0 8.3 12.1 26.9 27.3,Quince Orchard HS 36.7 93.3 88.6 5.9 8.4 12.1 26.4 27.3
Rockville HS 50.3 92.6 89.5 ≤5.0 9.9 9.8 12.8 17.9,Rockville HS 52.8 92.2 83.0 9.3 10.4 9.7 17.3 18.4,Rockville HS 53.1 92.2 85.3 5.2 10.4 9.6 16.4 14.0,Rockville HS 53.1 92.2 85.3 5.2 10.4 9.6 16.4 14.0,Rockville HS 53.1 92.2 85.3 5.2 10.4 9.6 16.4 14.0,Rockville HS 53.1 92.2 85.3 5.2 10.4 9.6 16.4 14.0,Rockville HS 53.1 92.2 85.3 5.2 10.4 9.6 16.4 14.0,Rockville HS 47.7 ≥95.0 85.7 6.5 9.9 10.3 24.6 25.7,Rockville HS 46.6 93.4 83.1 8.5 11.3 10.2 25.5 25.3
Seneca Valley HS 63.3 89.8 82.0 7.9 18.1 10.5 13.5 16.3,Seneca Valley HS 69.6 90.1 85.9 6.3 17.9 10.4 16.4 16.9,Seneca Valley HS 68.0 90.1 85.0 6.7 17.9 9.9 11.0 13.1,Seneca Valley HS 68.0 90.1 85.0 6.7 17.9 9.9 11.0 13.1,Seneca Valley HS 68.0 90.1 85.0 6.7 17.9 9.9 11.0 13.1,Seneca Valley HS 68.0 90.1 85.0 6.7 17.9 9.9 11.0 13.1,Seneca Valley HS 68.0 90.1 85.0 6.7 17.9 9.9 11.0 13.1,Seneca Valley HS 60.7 93.2 81.5 7.6 17.3 9.5 21.5 23.9,Seneca Valley HS 59.6 91.8 79.5 13.0 15.1 10.2 21.0 24.1
Sherwood HS 27.0 92.8 91.0 ≤5.0 8.9 12.4 19.0 20.7,Sherwood HS 29.9 92.8 90.2 ≤5.0 11.1 13.1 20.8 21.4,Sherwood HS 29.8 92.8 90.4 ≤5.0 11.1 13.2 18.2 17.5,Sherwood HS 29.8 92.8 90.4 ≤5.0 11.1 13.2 18.2 17.5,Sherwood HS 29.8 92.8 90.4 ≤5.0 11.1 13.2 18.2 17.5,Sherwood HS 29.8 92.8 90.4 ≤5.0 11.1 13.2 18.2 17.5,Sherwood HS 29.8 92.8 90.4 ≤5.0 11.1 13.2 18.2 17.5,Sherwood HS 25.7 ≥95.0 92.9 ≤5.0 9.2 11.7 24.3 25.8,Sherwood HS 24.5 94.1 93.4 ≤5.0 7.8 12.8 24.3 25.8
Springbrook HS 70.2 91.2 83.3 10.0 15.6 11.2 17.7 18.6,Springbrook HS 74.7 91.5 85.2 8.9 15.2 11.8 18.7 19.1,Springbrook HS 73.7 91.5 85.4 9.3 15.2 11.0 14.4 14.3,Springbrook HS 73.7 91.5 85.4 9.3 15.2 11.0 14.4 14.3,Springbrook HS 73.7 91.5 85.4 9.3 15.2 11.0 14.4 14.3,Springbrook HS 73.7 91.5 85.4 9.3 15.2 11.0 14.4 14.3,Springbrook HS 73.7 91.5 85.4 9.3 15.2 11.0 14.4 14.3,Springbrook HS 64.2 94.2 81.5 11.1 12.3 12.2 26.6 26.9,Springbrook HS 65.6 93.1 83.3 8.9 13.9 12.1 25.6 25.9
Watkins Mill HS 80.2 88.2 80.8 12.9 18.0 10.4 13.9 14.9,Watkins Mill HS 81.8 87.3 81.2 9.6 21.9 10.0 15.1 16.4,Watkins Mill HS 81.1 87.3 79.3 12.9 21.9 10.1 11.8 12.8,Watkins Mill HS 81.1 87.3 79.3 12.9 21.9 10.1 11.8 12.8,Watkins Mill HS 81.1 87.3 79.3 12.9 21.9 10.1 11.8 12.8,Watkins Mill HS 81.1 87.3 79.3 12.9 21.9 10.1 11.8 12.8,Watkins Mill HS 81.1 87.3 79.3 12.9 21.9 10.1 11.8 12.8,Watkins Mill HS 72.6 92.8 85.3 5.1 14.1 9.8 26.4 25.3,Watkins Mill HS 71.7 91.5 83.5 7.6 18.6 10.5 24.2 23.8
Wheaton HS 72.8 90.1 80.7 13.3 11.2 12.5 17.5 19.9,Wheaton HS 76.6 90.9 84.4 10.3 11.4 12.6 16.3 19.2,Wheaton HS 76.2 90.9 77.2 16.1 11.4 12.5 18.4 16.1,Wheaton HS 76.2 90.9 77.2 16.1 11.4 12.5 18.4 16.1,Wheaton HS 76.2 90.9 77.2 16.1 11.4 12.5 18.4 16.1,Wheaton HS 76.2 90.9 77.2 16.1 11.4 12.5 18.4 16.1,Wheaton HS 76.2 90.9 77.2 16.1 11.4 12.5 18.4 16.1,Wheaton HS 78.3 94.0 76.1 12.6 14.3 10.0 24.4 24.5,Wheaton HS 79.9 92.4 74.1 13.4 17.9 9.8 22.6 23.4
Walt Whitman HS ≤5.0 94.5 ≥95.0 ≤5.0 6.7 12.8 21.2 22.7,Walt Whitman HS 5.1 93.9 ≥95.0 ≤5.0 7.4 13.0 20.8 21.3,Walt Whitman HS ≤5.0 93.9 ≥95.0 ≤5.0 7.4 12.8 17.4 16.5,Walt Whitman HS ≤5.0 93.9 ≥95.0 ≤5.0 7.4 12.8 17.4 16.5,Walt Whitman HS ≤5.0 93.9 ≥95.0 ≤5.0 7.4 12.8 17.4 16.5,Walt Whitman HS ≤5.0 93.9 ≥95.0 ≤5.0 7.4 12.8 17.4 16.5,Walt Whitman HS ≤5.0 93.9 ≥95.0 ≤5.0 7.4 12.8 17.4 16.5,Walt Whitman HS ≤5.0 ≥95.0 ≥95.0 ≤5.0 8.7 12.1 27.5 26.2,Walt Whitman HS ≤5.0 94.8 ≥95.0 ≤5.0 8.3 12.5 25.0 25.7
Thomas S. Wootton HS 12.6 94.8 ≥95.0 ≤5.0 ≤5.0 13.9 15.5 21.5,Thomas S. Wootton HS 15.0 94.9 ≥95.0 ≤5.0 ≤5.0 14.4 16.2 23.5,Thomas S. Wootton HS 13.7 94.9 ≥95.0 ≤5.0 ≤5.0 14.1 16.9 19.5,Thomas S. Wootton HS 13.7 94.9 ≥95.0 ≤5.0 ≤5.0 14.1 16.9 19.5,Thomas S. Wootton HS 13.7 94.9 ≥95.0 ≤5.0 ≤5.0 14.1 16.9 19.5,Thomas S. Wootton HS 13.7 94.9 ≥95.0 ≤5.0 ≤5.0 14.1 16.9 19.5,Thomas S. Wootton HS 13.7 94.9 ≥95.0 ≤5.0 ≤5.0 14.1 16.9 19.5,Thomas S. Wootton HS 11.3 ≥95.0 ≥95.0 ≤5.0 ≤5.0 13.1 27.0 27.8,Thomas S. Wootton HS 11.4 ≥95.0 ≥95.0 ≤5.0 5.1 14.1 25.8 27.5